narrative,bg_idx,identifier,graph_component,comments,description ,chart_title,keywords,steps,data,events,headlines,step_idx,text_component,body_en,body_ru
freezing-europe,,sanctions-tableau-isolation,BarChart,,"The graph depicts the frequency of headlines mention in relevant Russian-language media. It uses regex expressions for requesting the words ""isolation"", ""Russia"" in the Tableau worksheet. Timeframe: 01.01.2022 - 31.07.2022. Data source: GDELT.","Frequency of headlines mentioning the ""isolation"" marker","(изоляц,изолир + росс)xr",011,ok,sanctions-general,ok,011,DefaultText,The narrative of isolation has been in the news headlines since the beginning of the war and has been associated both with the imposition of new sanctions and with reports of successful resistance to them.,
freezing-europe,006,sanctions-wordcloud-freeze,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “freezing”.,замороз,012,,,,012,TextCenter,Response of the Russian state to sanctions,
freezing-europe,007,sanctions-tableau-freeze,BarChart,,,,"замороз + актив,валют,резерв,имущ",13-15,ok,sanctions-general,ok,013,DefaultText,"The negative effect of sanctions inside Russia is not advertised by public figures, but is assessed by experts as [extremely negative in the long term](https://www.dw.com/en/yale-study-shows-sanctions-are-crippling-russias-economy/a-62623738)",
freezing-europe,,,,,"The graph depicts the frequency of headlines mention in relevant Russian-language media. It uses regex expressions for requesting the words ""freeze"",""assets"", ""currency"", ""reserves"", ""property"" in the Tableau worksheet. Timeframe: 01.01.2022 - 31.07.2022. Data source: GDELT.","Frequency of headlines mentioning the ""freezing assets"" marker",,,,,,014,DefaultText,The authorities seek to explain the decline in living standards to the audience through external pressure and injustice from unfriendly countries.,
freezing-europe,,,,,,,,,,,,015,DefaultText,"For example, the freezing of Russia's multi-billion dollar foreign currency reserves and the assets of the oligarchs in connection with the invasion is regularly described as theft.",
freezing-europe,008,sanctions-colab-swift,BarChart,,"The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
","Frequency of the ""Disconnecting Russian banks from SWIFT"" topic in Russian media.",topic 134,016,ok,sanctions-swift,ok,016,DefaultText,"Before the invasion, the media talked about the impossibility of disconnecting Russian banks from the international Swift system, as it was disadvantageous to the West. When the disconnection occurred because of sanctions, its damage in the media is levelled, and the topic is covered only rarely.",
freezing-europe,009,sanctions-wordcloud-import,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “import”.,импорт,17-18,ok,sanctions-foreign,ok,017,TextCenter,Curtailing operations in Russia,
freezing-europe,,,,,,,,,,,,018,DefaultText,"The withdrawal of foreign companies' business in Russia was a reaction to the invasion and was related not only to sanction restrictions, but also to the position of their management. The topic of companies leaving the Russian market is revealed in the media through threats to nationalise their assets.",
freezing-europe,010,sanctions-colab-import_substitution,BarChart,,,"Frequency of the ""Foreign companies leaving Russia"" topic in Russian media.",topic 93,019,ok,sanctions-foreign,ok,019,DefaultText,"At the same time, the ease of replacing them with Russian or Chinese producers is regularly emphasised, and successes of import substitution and parallel imports are touted. The topic of organisations' reluctance to leave Russia or their desire to return to the Russian market by any means is regularly cultivated, including the reliance on the fact that some companies [continue to operate in the country](https://som.yale.edu/story/2022/over-1000-companies-have-curtailed-operations-russia-some-remain).",
freezing-europe,011,sanctions-colab-isolation,BarChart,"it's not colab, isolation it's tableau, inflation
, it should be 2 graphs from tableau (inflation west, inflation russia, they are in the script: you can take weekly)","The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
","Frequency of the ""Inflation in Russia and in the world"" topic in Russian media.",topic 65,020,ok,sanctions-foreign,ok,020,DefaultText,"There are several times more headlines mentioning inflation in the West than in Russia, with the ""record high"" situation in the world being contrasted with the ""record low"" one in Russia. Official statements in the media demonstrate the Russian state's concern for its citizens and the heavy burden of sanctions on the citizens of Western countries. At the same time, the described situation with Russian inflation is usually [far from reality](https://theins.ru/en/antifake/252360). ",
freezing-europe,012,sanctions-wordcloud-gas,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “gas”.,газ,021,,,,021,TextCenter,Gas infowar,
freezing-europe,013,sanctions-colab-nordstream,BarChart,,"The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
",,"topics 22 - nordstream 2 and 1, 7 - gas in roubles, narrative 8",22-24,ok,sanctions-gas,ok,022,DefaultText,"In the energy agenda, the media focuses on the inability of Western countries to refuse Russian energy supplies. Having disappeared from the agenda with the outbreak of war, the topic of the Nord Stream 2 pipeline, against the background of the April embargo announcement, is replaced by the ultimatum to pay for gas in rubles (in order to strengthen the national currency). ",
freezing-europe,,,,01.06.2022-31.07.2022,,,,,,,,023,DefaultText,"Then, since June, there has been a growing number of media references to the Nord Stream 1 pipeline, amid a Russian-induced reduction in gas flows to Europe. ",
freezing-europe,,,,,"The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
","Frequency of the ""Nordstream"" and ""Gas payment by rubles"" topics in Russian media.",,,,,,024,DefaultText,"The agreement of some European countries on the ruble mechanism is actively discussed in the media, even if such facts are fake, using the example of the [Vatican](https://www.stopfake.org/en/fake-vatican-first-to-pay-russia-for-gas-in-rubles/) or [Austria](https://www.stopfake.org/en/fake-austria-agrees-to-pay-for-russian-gas-in-rubles/).",
freezing-europe,014,sanctions-wordcloud-crisis,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “crisis”.,кризис,025,,,,025,TextCenter,Freezing Europe,
freezing-europe,015,sanctions-colab-west_dependency,BarChart,,"The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Topics: ""Baltic countries refuse to import gas and oil"", ""Energy consumption in Europe"", ""Britain refuses to import gas and oil"", ""Dependency on Russian gas"" and ""Finland refuses to import Russian gas"" Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.",Frequency of the selected topics on energy policy in Russian media.,"topics 220, 210, 195, 199, 173",026,ok,sanctions-gas,ok,026,DefaultText,News headlines about foreign countries' refusal to supply energy resources are accompanied by quotations of gloating populist rhetoric from public figures and anonymous Internet users about Europeans freezing to death because of sanctions. Criticism of Europe's course toward energy independence in the Russian media has continued steadily since the beginning of the year.,
freezing-europe,016,sanctions-wordcloud-hunger,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “hunger”.,голод,027,,,,027,TextCenter,Accusations of a global food crisis,
freezing-europe,018,sanctions-colab-hunger,BarChart,,"The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
","Frequency of the ""Food crisis"" topic in Russian media.",(topic 49),28-29,ok,sanctions-food,ok,028,DefaultText,"Using the agenda of the global food crisis as a field for speculation, the Russian media form a picture of Western governments' responsibility for it. The reason is the sanctions imposed on Russia. ",
freezing-europe,019,,,,,,,,,,,029,DefaultText,"It is noteworthy that the topic and references to the food crisis mostly appear in the headlines after March 9, the date when personal sanctions were imposed against the main beneficiary of fertiliser producer EuroChem, as well as a ban on grain exports from March 15 to June 30.",
freezing-europe,020,sanctions-wordcloud-end,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “sanctions”.,all,030,,,,030,TextCenter,"The delayed effect on the Russian economy, increased energy prices, and the negative consequences for the global economy and the mass consumer have allowed propaganda to intensively exploit multiple narratives of economic confrontation between Russia and the collective West. The generalised goal of this narrative is to shift responsibility for the economic consequences of the war, energy and food crises to the West.
The success in spreading this narrative outside of Russia may be facilitated by the negative economic consequences of sanctions policies on the populations of sanctioning countries. ",
